"Sr.","Stock Name","Symbol","close","%_change","volume","sma150","atr14","market_cap","sector","ema21","Add Column"
1,"Sicagen India Limited","SICAGEN","74.06","19.99%","18,20,404","37.99","4.68","293.07","services","53.99",""
2,"Sapphire Foods India Ltd","SAPPHIRE","224.22","12.26%","1,82,24,172","189.29","12.3","7206.05","consumer discretionary","191.56",""
3,"Pearl Global Industries Limited","PGIL","2,464.1","10.92%","22,15,967","1675.25","115.34","11380.23","consumer discretionary","2082.41",""
4,"Electronics Mart India Ltd","EMIL","165.83","10.72%","5,13,55,051","109.5","9.66","6380.29","consumer discretionary","135.79",""
5,"Varroc Engineering Ltd","VARROC","811.2","9.94%","1,51,90,210","574.35","40.34","12394.03","auto","682.54",""
6,"Worth Peripherals Ltd","WORTHPERI","163.13","8.85%","2,24,589","135.77","8.63","256.95","industrials","145.57",""
7,"Devyani International Ltd","DEVYANI","134.73","8.78%","2,66,17,033","117.68","5.95","16611.4","consumer discretionary","117.88",""
8,"Matrimony.com Ltd","MATRIMONY","480.8","7.35%","1,93,716","449.79","19.16","993.98","miscellaneous","435.78",""
9,"Ambalal Sarabhai Enterprises Ltd","AMBALALSA","46.73","6.93%","6,53,520","","3.09","358.11","healthcare","36.21",""
10,"Kuantum Papers Ltd","KUANTUM","86.04","6.74%","5,06,234","81.46","3.56","750.82","building materials","78.81",""
11,"BirlaNu Ltd","BIRLANU","1,641.5","6.68%","1,11,225","1457.67","92.04","1237.84","building materials","1388.17",""
12,"Neuland Laboratories Limited","NEULANDLAB","22,855","6.09%","3,13,887","15571.9","1059.16","29322.71","healthcare","19562.24",""
13,"Tourism Finance Corporation Of India Limited","TFCILTD","117.48","6.02%","2,39,57,180","74.02","4.45","5439.06","financials","96.71",""
14,"Restaurant Brands Asia Ltd","RBA","94.92","5.17%","3,01,10,261","66.91","5.07","6755.64","consumer discretionary","75.53",""
15,"Aban Offshore Limited","ABAN","19.99","4.33%","2,77,730","23.65","0.89","116.67","energy","16.44",""
16,"Fiem Industries Limited","FIEMIND","2,580.3","4.07%","1,95,760","2228.68","83.36","6791.26","auto","2363.42",""
17,"A2z Infra Engineering Limited","A2ZINFRA","17.39","3.95%","4,43,981","15.13","1.06","308.71","realty","14.8",""
18,"Gp Petroleums Limited","GULFPETRO","56.73","3.75%","3,11,905","35.47","2.92","289.23","chemicals","46.84",""
19,"Vedant Fashions Ltd","MANYAVAR","516.9","3.31%","26,29,328","432.07","25.32","12559.49","consumer discretionary","438.02",""
20,"Apar Industries Limited","APARINDS","16,631","3.13%","1,77,454","11632.69","669.19","66813.77","industrials","14712.28",""
21,"Aster DM Healthcare Ltd","ASTERDM","869.7","2.99%","10,37,107","699.03","30.62","75809.35","healthcare","818.77",""
22,"Westlife Foodworld Ltd","WESTLIFE","594.85","2.78%","1,48,955","484.67","31.37","9275.86","consumer discretionary","515.91",""
23,"Dr Agarwals Health Care Ltd","AGARWALEYE","546.25","2.62%","1,58,709","461.42","24.01","17315.2","healthcare","495.41",""
24,"PNGS Reva Diamond Jewellery Limited","PNGSREVA","511.2","2.38%","2,53,363","","31.15","1620.42","consumer discretionary","445.92",""
25,"Bosch Home Comfort India Ltd","BOSCH-HCIL","1,682.4","2.26%","1,38,636","1361.91","63.55","4574.59","consumer discretionary","1419.35",""
26,"Hindustan Zinc Limited","HINDZINC","603","2.2%","63,62,181","587.14","15.65","254786.74","metals & mining","553.22",""
27,"Sansera Engineering Ltd","SANSERA","3,863.8","2.02%","1,96,227","2503.72","133.49","24111.49","auto","3393.68",""
28,"Viji Finance Limited","VIJIFIN","11.25","1.99%","12,74,766","4.27","0.2","231.75","financials","9.38",""
29,"Happy Forgings Ltd","HAPPYFORGE","1,906.2","1.94%","1,25,748","1342.26","73.11","17990.47","industrials","1676.37",""
30,"L T Foods Ltd","LTFOODS","427.55","1.94%","6,43,817","392.7","12.17","14846.8","fmcg","397.58",""
