"Sr.","Stock Name","Symbol","close","%_change","volume","sma150","market_cap","sector","atr14","ema21","Add Column"
1,"Pakka Ltd","PAKKA","89.28","20%","17,87,278","85.91","354.65","building materials","4.19","74.27",""
2,"Uflex Limited","UFLEX","586.05","19.99%","37,34,414","441.53","3526.81","industrials","26.39","486.84",""
3,"Modern Threads (I) Ltd","MODTHREAD","57.64","19.39%","1,92,105","45.69","167.89","textiles","3.32","48.36",""
4,"Khaitan Chemicals & Fertilizers Ltd","KHAICHEM","59.75","14.09%","16,27,884","56.1","507.93","chemicals","3.08","51.7",""
5,"Premier Polyfilm Limited","PREMIERPOL","83.59","13.65%","34,54,869","58.7","770.38","plastic products","5.03","72.83",""
6,"Asian Energy Services Ltd","ASIANENE","425.25","13.58%","17,88,634","317.83","1820.69","energy","25.27","390.85",""
7,"Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","576.85","13.53%","2,74,715","409.24","2032.63","energy","37.65","436.16",""
8,"Kaya Limited","KAYA","336.65","13.41%","1,73,026","285.35","450.84","healthcare","23.36","281.79",""
9,"Expleo Solutions Ltd","EXPLEOSOL","923.05","13.13%","61,42,838","828.57","1266.33","i.t","42.69","832.61",""
10,"Latteys Industries Ltd","LATTEYS","23.29","13.11%","6,51,587","21.49","112.09","industrials","1.38","20.57",""
11,"Alphageo (india) Limited","ALPHAGEO","338.36","12.28%","2,29,452","213.79","191.81","miscellaneous","24.73","253.11",""
12,"Manorama Industries Ltd","MANORAMA","1,943.4","11.88%","72,48,199","1440.97","10371.97","fmcg","110.15","1654.05",""
13,"Shreeoswal Seeds & Chemicals Ltd","OSWALSEEDS","13.59","11.85%","36,93,127","11.99","111.14","fmcg","0.93","10.88",""
14,"Rubicon Research Ltd","RUBICON","1,798.7","11.09%","34,73,690","1039.97","26777.12","healthcare","79.3","1566.92",""
15,"Avadh Sugar & Energy","AVADHSUGAR","725.25","11.04%","8,68,054","452.22","1307.5","fmcg","38.07","595.39",""
16,"Gujarat Kidney & Super Speciality Ltd","GKSL","151.36","10.94%","34,24,803","119.9","1075.66","healthcare","6","133.64",""
17,"Laxmi India Finance Ltd","LAXMIINDIA","136.56","9.79%","6,34,526","107.61","651.67","financials","7.94","128.2",""
18,"Fujiyama Power Systems Ltd","UTLSOLAR","464.4","9.57%","16,13,583","274.82","13008.03","industrials","23.53","393.86",""
19,"Eimco Elecon (india) Limited","EIMCOELECO","2,189.1","9.15%","2,27,225","1661.62","1156.85","industrials","94.27","1863.55",""
20,"Dalmia Bharat Sugar And Industries Limited","DALMIASUG","459.6","8.81%","15,69,227","338.95","3418.88","fmcg","26.49","396.8",""
21,"Tvs Srichakra Limited","TVSSRICHAK","4,868.9","8.73%","2,98,746","3935.66","3428.9","auto","246.65","4108.44",""
22,"Ipca Laboratories Limited","IPCALAB","1,884.6","8.67%","69,64,903","1584.26","43997.39","healthcare","88.63","1764.74",""
23,"Ucal Ltd","UCAL","151.87","8.59%","5,57,091","107.24","309.26","auto","8.7","122.63",""
24,"Avt Natural Products Limited","AVTNPL","88.1","8.43%","27,64,523","67.1","1237.31","fmcg","3.99","73.19",""
25,"Piccadily Agro Industries Ltd","PICCADIL","695.45","8.34%","6,97,629","608.47","6327.35","fmcg","46.6","714.6",""
26,"Sreeleathers Limited","SREEL","260.75","8.28%","1,14,222","202.39","557.62","consumer discretionary","12.04","226.36",""
27,"The Ugar Sugar Works Limited","UGARSUGAR","52.18","8.28%","15,00,943","40.01","542.14","fmcg","3.39","44.33",""
28,"DCM Shriram Industries Ltd","DCMSRIND","45.73","8.26%","7,44,844","39.7","367.46","fmcg","2.45","42.12",""
29,"Hindustan Copper Limited","HINDCOPPER","572.65","8.24%","2,93,33,771","536.49","51160.41","metals & mining","26.72","520.54",""
30,"SAL Steel","SALSTEEL","71.87","8.21%","8,44,710","51.5","961.54","metals & mining","5.29","61.57",""
31,"K.m.sugar Mills Limited","KMSUGAR","29.79","8.09%","9,56,989","26.86","253.55","fmcg","1.43","28.08",""
32,"PTC Industries Ltd","PTCIL","20,584","8.05%","2,84,135","17428.89","28560.81","industrials","639.43","18588.45",""
33,"Sahyadri Industries Ltd","SAHYADRI","388.15","7.79%","1,52,530","269.67","394.18","building materials","22.48","328.29",""
34,"Shanti Gold International Ltd","SHANTIGOLD","266.84","7.74%","55,40,521","209.55","1785.53","consumer discretionary","12.62","227.53",""
35,"Max Estates Ltd","MAXESTATES","474.35","7.33%","7,77,179","405.6","7225.76","realty","20.2","420.24",""
36,"Maha Rashtra Apex Corporation Ltd","MAHAPEXLTD","54.09","7.3%","45,119","50.17","142.07","financials","4.24","48.49",""
37,"Signet Industries Ltd","SIGIND","71.15","7.28%","65,154","49.44","195.23","services","5.05","60.26",""
38,"Mm Forgings Limited","MMFL","632.3","7.21%","4,52,123","470.39","2847.41","industrials","35.97","583.92",""
