"Sr.","Stock Name","Symbol","close","%_change","volume","sma150","atr14","market_cap","sector","Add Column"
1,"Samvardhana Motherson International Ltd","MOTHERSON","168.5","8.71%","11,55,82,755","129.97","6.21","177842.36","auto",""
2,"Arvind Smartspaces Limited","ARVSMART","650.75","7.87%","69,10,360","578.92","26.14","2984.79","realty",""
3,"Orient Electric Ltd","ORIENTELEC","189.18","6.14%","36,29,172","176.25","7.57","4036.46","consumer discretionary",""
4,"Prataap Snacks Ltd","DIAMONDYD","1,227.4","5.25%","4,45,495","1075.13","50.09","2934.78","fmcg",""
5,"Aurobindo Pharma Limited","AUROPHARMA","1,658","4.35%","20,01,257","1368.38","48.12","95397.66","healthcare",""
6,"Granules India Limited","GRANULES","873.85","4.2%","11,46,571","692.21","28.34","21653.73","healthcare",""
7,"Fiem Industries Limited","FIEMIND","2,580.3","4.07%","1,95,760","2228.68","83.36","6791.26","auto",""
8,"Bhagiradha Chemicals & Industries Ltd","BHAGCHEM","285.6","3.7%","2,42,919","237.73","14.54","3703.35","chemicals",""
9,"Kolte - Patil Developers Limited","KOLTEPATIL","445.1","3.68%","3,69,103","365.64","19.54","3947.15","realty",""
10,"Pg Electroplast Limited","PGEL","630.65","3.43%","1,10,60,038","550.47","24.22","18010.54","consumer discretionary",""
11,"Hindalco Industries Limited","HINDALCO","1,059.6","3.17%","92,84,747","980.26","24.3","238116.12","metals & mining",""
12,"Aster DM Healthcare Ltd","ASTERDM","869.7","2.99%","10,37,107","699.03","30.62","75809.35","healthcare",""
13,"Deepak Nitrite Limited","DEEPAKNTR","1,796.5","2.63%","16,28,102","1621.44","60.42","24503.01","chemicals",""
14,"Dr Agarwals Health Care Ltd","AGARWALEYE","546.25","2.62%","1,58,709","461.42","24.01","17315.2","healthcare",""
15,"Bharat Forge Limited","BHARATFORG","2,265.2","2.5%","11,52,060","1844.36","49.54","108296.64","industrials",""
16,"Shanti Gold International Ltd","SHANTIGOLD","224.01","2.45%","16,69,290","207.59","7.96","1615.02","consumer discretionary",""
17,"Vardhman Special Steels Limited","VSSL","341.85","2.4%","3,35,632","268.09","15.26","3305.2","metals & mining",""
18,"Cosmo First Ltd","COSMOFIRST","892.5","2.36%","6,87,554","721","38.7","2342.79","industrials",""
19,"Redtape Ltd","REDTAPE","139.97","2.27%","8,95,112","126.94","4.45","7737.65","consumer discretionary",""
20,"Ptc India Limited","PTC","203.3","1.56%","1,28,83,295","177.56","6.26","6017.85","power & utilities",""
21,"Artemis Medicare Services Ltd","ARTEMISMED","316.3","1.48%","2,86,455","253.59","11.89","5007.23","healthcare",""
22,"Datamatics Global Services Limited","DATAMATICS","865.15","1.39%","1,60,788","764.21","27.44","5113.59","i.t",""
23,"P N Gadgil Jewellers Ltd","PNGJL","642.85","1.2%","6,98,612","587.78","26.85","8724.01","consumer discretionary",""
24,"The Karnataka Bank Limited","KTKBANK","310","1.04%","51,76,455","239.63","10.55","11724.3","bank",""
25,"Global Health Ltd","MEDANTA","1,455.6","0.78%","5,50,910","1188.64","45.66","39136.98","healthcare",""
26,"Sharda Motor Industries Limited","SHARDAMOTR","941.3","0.77%","1,37,006","860.4","34.07","5403.79","auto",""
27,"Indegene Ltd","INDGN","554.45","0.77%","9,63,198","497.84","22.52","13359.71","healthcare",""
28,"Manorama Industries Ltd","MANORAMA","1,636.2","0.76%","4,50,152","1426.63","49.21","9769.51","fmcg",""
29,"Renaissance Global Ltd","RGL","123.2","0.59%","6,21,597","111.04","4.99","1322.78","consumer discretionary",""
30,"S J S Enterprises Ltd","SJS","2,446.1","0.34%","1,98,017","1902.2","107.47","7828.78","auto",""
31,"Ratnaveer Precision Engineering Ltd","RATNAVEER","206.1","0.24%","64,22,570","162.26","12.65","1472.1","metals & mining",""
32,"Tech Mahindra Limited","TECHM","1,635","0.17%","60,89,110","1498.05","41.25","160239.48","i.t",""
33,"Mukand Limited","MUKANDLTD","143.22","-0.05%","2,81,992","133.34","3.84","2069.47","metals & mining",""
34,"Hindustan Aeronautics Ltd","HAL","4,910","-0.2%","10,83,102","4299.41","108.81","328368.53","aerospace & defence",""
35,"Atul Limited","ATUL","6,774","-0.33%","1,30,066","6473.56","193.54","19943.84","chemicals",""
36,"Atul Auto Limited","ATULAUTO","576.9","-0.46%","2,97,801","465.38","24.19","1600.97","auto",""
